Instance,Class,Score
304,0,0.0489367
305,0,0.0225465
306,0,0.023563
307,0,0.020988
308,1,0.889815
309,1,0.592619
310,0,0.00211767
311,1,0.996082
312,1,0.956753
313,0,0.692513
314,1,0.981776
315,1,0.999561
316,0,0.146316
317,1,0.982259
318,1,0.680223
319,0,0.00185267
320,1,0.743474
321,0,0.961681
322,0,0.570823
323,1,0.998965
324,1,0.612198
325,1,0.568735
326,0,0.462728
327,1,0.613151
328,1,0.89583
329,0,0.6828
330,1,0.693548
331,1,0.997754
332,0,0.887113
333,1,0.99915
334,0,0.0551925
335,0,0.0194823
336,0,0.646419
337,0,0.0500077
338,1,0.489796
339,0,0.590439
340,1,0.30232
341,1,0.932552
342,0,0.00355676
343,0,0.00482593
344,0,0.13791
345,0,0.463205
346,1,0.692245
347,1,0.882496
348,1,0.339888
349,1,0.800647
350,0,0.888056
351,1,0.997575
352,0,0.0136288
353,0,0.017727
354,1,0.573275
355,0,0.0352535
356,0,0.0149319
357,1,0.945581
358,1,0.275603
359,0,0.367339
360,1,0.994781
361,1,0.763062
362,1,0.822143
363,1,0.331011
364,0,0.614826
365,0,0.0897203
366,1,0.885042
367,1,0.858188
368,1,0.857298
369,0,0.294333
370,0,0.731335
371,0,0.00784434
372,0,0.166742
373,0,0.0310474
374,1,0.993566
375,1,0.979265
376,0,0.45805
377,1,0.857003
378,1,0.670153
379,1,0.58564
380,1,0.889831
381,0,0.0272542
382,0,0.00471434
383,0,0.99168
384,0,0.084729
385,1,0.968425
386,1,0.984142
387,1,0.999022
388,1,0.890658
389,1,0.993109
390,0,0.686919
391,1,0.82843
392,1,0.974071
393,1,0.697382
394,0,0.0110958
395,1,0.680972
396,1,0.0061375
397,1,0.861822
398,0,0.0500124
399,1,0.998092
400,1,0.928217
401,1,0.053269
402,0,0.164405
403,1,0.701661
404,0,0.282302
405,1,0.712451
406,1,0.888295
407,0,0.450593
408,1,0.588398
409,0,0.020265
410,1,0.913944
411,1,0.883543
412,1,0.277202
413,0,0.138924
414,1,0.698401
415,0,0.923986
416,0,0.0109133
417,1,0.926539
418,0,0.527653
419,1,0.756234
420,1,0.296744
421,1,0.986033
422,0,0.0613308
423,1,0.82878
424,0,0.0145661
425,0,0.322408
426,0,0.0710604
427,0,0.0833877
428,0,0.0330417
429,1,0.997056
430,1,0.997587
431,0,0.0917462
432,0,0.340708
433,0,9.66E-05
434,1,0.0828246
435,0,0.00413614
436,0,0.989868
437,1,0.808473
438,1,0.917593
439,0,0.67973
440,1,0.809483
441,0,0.00125258
442,1,0.81401
443,1,0.971122
444,1,0.490358
445,0,0.467589
446,0,0.896564
447,1,0.853555
448,1,0.903919
449,1,0.673123
450,0,0.0144862
451,1,0.994437
452,1,0.878078
453,1,0.997403
454,0,0.0202554
455,1,0.993271
456,1,0.967886
457,0,0.364113
458,1,0.582357
459,1,0.998906
460,1,0.972268
461,1,0.994634
462,1,0.0168725
463,0,0.0418463
464,1,0.965794
465,1,0.640027
466,0,0.00853147
467,0,0.0687009
468,0,0.0183339
469,1,0.825539
470,1,0.961994
471,0,0.0038196
472,0,8.12E-05
473,0,0.0230375
474,1,0.990225
475,1,0.95719
476,0,0.0160966
477,0,0.318987
478,0,0.000691166
479,0,0.325372
480,1,0.612755
481,0,0.16242
482,0,0.827959
483,0,0.000683638
484,0,0.758649
485,0,0.946083
486,1,0.439643
487,1,0.971843
488,1,0.756112
489,1,0.849126
490,0,0.174206
491,0,0.65664
492,1,0.745784
493,0,0.01125
494,1,0.0931225
495,1,0.374614
496,1,0.891811
497,1,0.948744
498,0,0.223875
499,0,0.715863
500,0,0.0308426
